time,temperature_2m,relativehumidity_2m,surface_pressure,precipitation,cloudcover,direct_radiation,diffuse_radiation,windspeed_10m
00,15.8,63,1002.9,0.0,0,0.0,0.0,7.9
01,14.6,71,1003.0,0.0,0,0.0,0.0,6.3
02,13.4,77,1002.9,0.0,0,0.0,0.0,6.5
03,12.5,81,1002.9,0.0,5,0.0,0.0,6.5
04,11.8,85,1002.8,0.0,20,0.0,0.0,6.8
05,11.4,87,1002.8,0.0,25,0.0,5.0,6.2
06,12.6,87,1003.0,0.0,26,26.0,45.0,8.5
07,16.6,70,1003.3,0.0,23,101.0,91.0,6.8
08,19.2,59,1003.3,0.0,16,248.0,107.0,6.9
09,21.2,48,1003.3,0.0,9,404.0,116.0,8.2
10,22.4,43,1003.4,0.0,58,532.0,127.0,11.0
11,23.1,40,1003.4,0.0,50,381.0,239.0,11.0
12,23.6,37,1003.2,0.0,60,249.0,357.0,10.4
13,24.1,36,1002.6,0.0,60,262.0,319.0,8.2
14,24.4,35,1002.6,0.0,73,143.0,362.0,7.2
15,24.6,34,1002.4,0.0,88,140.0,318.0,6.8
16,24.7,34,1002.2,0.0,88,132.0,319.0,7.3
17,24.7,34,1001.8,0.0,74,147.0,215.0,7.3
18,24.5,34,1001.4,0.0,28,171.0,155.0,6.5
19,23.8,39,1001.1,0.0,21,139.0,81.0,4.0
20,21.9,49,1000.8,0.0,14,42.0,46.0,4.7
21,19.4,55,1001.0,0.0,3,2.0,7.0,5.0
22,19.6,52,1001.1,0.0,0,0.0,0.0,6.9
23,17.0,62,1001.0,0.0,1,0.0,0.0,7.6
00,15.2,70,1001.2,0.0,1,0.0,0.0,8.6
01,14.2,74,1001.2,0.0,1,0.0,0.0,7.9
02,13.6,77,1001.5,0.0,0,0.0,0.0,7.5
03,13.4,78,1001.2,0.0,2,0.0,0.0,7.2
04,13.4,76,1001.0,0.0,1,0.0,0.0,6.9
05,14.1,73,1000.9,0.0,2,1.0,4.0,6.0
06,15.9,66,1001.0,0.0,5,33.0,41.0,4.7
07,17.9,72,1001.2,0.0,5,126.0,76.0,2.9
08,21.3,47,1001.1,0.0,2,269.0,96.0,2.8
09,23.4,39,1001.2,0.0,3,403.0,116.0,2.9
10,24.4,39,1001.1,0.0,7,505.0,141.0,3.6
11,25.2,36,1001.0,0.0,44,495.0,175.0,7.3
12,25.5,35,1000.5,0.0,58,307.0,283.0,7.9
13,25.5,35,1000.2,0.0,53,158.0,302.0,8.3
14,25.7,35,999.8,0.0,58,167.0,309.0,8.6
15,25.9,35,1000.0,0.0,59,154.0,313.0,10.1
16,25.8,36,999.6,0.0,47,196.0,222.0,11.8
17,25.7,36,999.7,0.0,37,122.0,236.0,12.1
18,25.2,37,999.0,0.0,11,100.0,135.0,12.4
19,24.6,39,999.2,0.0,12,85.0,88.0,10.0
20,23.3,42,999.1,0.0,13,25.0,47.0,9.2
21,21.6,45,999.5,0.0,14,1.0,7.0,12.3
22,20.7,45,999.7,0.0,12,0.0,0.0,14.1
23,19.7,46,1000.1,0.0,11,0.0,0.0,13.1
00,18.7,48,999.9,0.0,5,0.0,0.0,11.2
01,17.7,50,999.9,0.0,2,0.0,0.0,10.0
02,16.7,53,999.9,0.0,2,0.0,0.0,7.7
03,15.5,59,999.8,0.0,1,0.0,0.0,7.2
04,14.5,64,1000.1,0.0,1,0.0,0.0,7.2
05,13.8,70,1000.1,0.0,0,1.0,4.0,8.1
06,14.8,71,1000.1,0.0,0,33.0,39.0,10.9
07,18.6,51,1000.4,0.0,0,131.0,75.0,10.4
